"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1842352858207035452","Fri Oct 04 23:55:25 +0000 2024","0","MABA harap dapat pemain naturalisasi sebelum Sukan Sea Thailand | Harian Metro https://t.co/79NDJylnYD","1842352858207035452","","","in","Bandar Kuala Lumpur","0","0","0","https://x.com/AtletMalaysia/status/1842352858207035452","2230869265","AtletMalaysia"
"1842343354505535569","Fri Oct 04 23:55:14 +0000 2024","0","@SeputarMadrid sep yg di list nominees kok lounine ya namanya. apa lunin naturalisasi ke prancis?","1842352811708919986","","SeputarMadrid","in","Earth","0","1","0","https://x.com/mift189/status/1842352811708919986","2642778856","mift189"
"1842351540281241769","Fri Oct 04 23:50:11 +0000 2024","1","MABA harap dapat turunkan pemain naturalisasi di Thailand | Berita Harian https://t.co/99VMYMAU9X","1842351540281241769","","","in","Bandar Kuala Lumpur","0","0","0","https://x.com/AtletMalaysia/status/1842351540281241769","2230869265","AtletMalaysia"
"1842031501057392678","Fri Oct 04 23:46:53 +0000 2024","0","@gilabola_ina Malaysia mending Naturalisasi Ultraman Ribut","1842350712673411272","","gilabola_ina","in","Indonesia","0","0","0","https://x.com/BentVuijk/status/1842350712673411272","264927696","BentVuijk"
"1842349842364080288","Fri Oct 04 23:43:26 +0000 2024","0","boaz kalo masih muda ga bakal dah indonesia naturalisasi striker","1842349842364080288","","","in","London, England","0","0","0","https://x.com/octoivan/status/1842349842364080288","88359639","octoivan"
"1842052706674098335","Fri Oct 04 23:39:17 +0000 2024","0","@unmagnetism naturalisasi buat gua males dukung negara kek gini","1842348800779985290","","unmagnetism","in","Jakarta Capital Region","0","0","0","https://x.com/JavaMaukar/status/1842348800779985290","498602170","JavaMaukar"
"1842130518269456829","Fri Oct 04 23:26:38 +0000 2024","0","@hermas36982763 @JokiNgoding @Orangbiasa1312 @pedgavrdgz @MafiaWasit Emang jaman Edy udah hype naturalisasi keturunan?","1842345615621226616","","hermas36982763","in","","0","0","0","https://x.com/Jokosprnto05/status/1842345615621226616","1430994526823337986","Jokosprnto05"
"1842126176267198666","Fri Oct 04 23:26:10 +0000 2024","0","@theonlybil1 @gilabola_ina Polandia ngapain mau naturalisasi org belanda?","1842345498205938153","","theonlybil1","in","","0","0","0","https://x.com/nurulaisyahput9/status/1842345498205938153","3055910558","nurulaisyahput9"
"1842155275295531460","Fri Oct 04 23:24:41 +0000 2024","0","@angelsdudde @gilabola_ina Dia proses Naturalisasi aja belum gmn mau main lawan Bahrain &amp; China? Btw Giani Infantino itu Presiden FIFA","1842345124183113928","","angelsdudde","in","Tempat Terindah Di Hatimu","0","1","0","https://x.com/IndraS4putra/status/1842345124183113928","225646789","IndraS4putra"
"1842259600864841749","Fri Oct 04 23:23:29 +0000 2024","4","@UpdateBolabola @AryaSinulingga G berhenti2 ya naturalisasi ini? Mau cari apa dah ","1842344823807938605","","UpdateBolabola","in","","0","58","0","https://x.com/mirzasyaif/status/1842344823807938605","85011624","mirzasyaif"
"1842341685038350785","Fri Oct 04 23:11:01 +0000 2024","52","BREAKING: Windassio Basuretti del Brando (69/CB) 🇮🇩🇮🇹 telah selesai menjalani semua proses naturalisasi. Bek tengah andalan AC Milan itu kini sudah berstatus sebagai WNI setelah baru saja menjalani sumpah di KBRI Italia. Welcome Alomani Lanang! https://t.co/x36Ju4GXGk","1842341685038350785","https://pbs.twimg.com/media/GZFP_jYbYAAoeIE.jpg","","in","","1","2","14","https://x.com/atamaruto_dn/status/1842341685038350785","1665609120639250432","atamaruto_dn"
"1842321493549814265","Fri Oct 04 22:55:41 +0000 2024","0","capres naturalisasi.... auk dah males komen gue! sedangkan pemain naturalisasi nunjukin mereka 'all out' ya terlepas mereka ga dipake pusat (belanda) ... toh darah mereka ada ngalir 'Merah Putih'.","1842337828505878783","","banglych","in","samping kulkas","0","1","0","https://x.com/banglych/status/1842337828505878783","75329267","banglych"
"1842063490250637807","Fri Oct 04 22:53:37 +0000 2024","3","@HabibKun4 @vocketfc Apalah daya nak naturalisasi tak da yg minat... Akhirnya hanya mampu hina dan caci yg keluar dari mulut. Dah lah balik sana lawan srilanka kampung halaman rakyat malay","1842337306835054670","","HabibKun4","in","","0","0","0","https://x.com/wtpdua/status/1842337306835054670","1123796892092174338","wtpdua"
"1842163690587685104","Fri Oct 04 22:51:19 +0000 2024","0","@kaukavolk @idextratime Ya kali mau di naturalisasi sama negara babu bawahan British","1842336729216459042","","kaukavolk","in","","0","0","0","https://x.com/goes_moer/status/1842336729216459042","1105755391042904065","goes_moer"
"1842321493549814265","Fri Oct 04 22:49:29 +0000 2024","0","mood mereka kekinian tuh ke capres 'naturalisasi' tapi banyak juga yg anti naturalisasi di TimNas sepakbola... kocak ga tuh? ","1842336267868192969","","banglych","in","samping kulkas","0","1","0","https://x.com/banglych/status/1842336267868192969","75329267","banglych"
"1842168746192122254","Fri Oct 04 22:41:46 +0000 2024","0","@gilabola_ina Itu China protes kalo naturalisasi di Belanda melanggar Hukum Indonesia? Ya maklum aja China Hukum di Indonesia bisa diakal2in beda ama negara ente. Ampe diperingatkan gitu lucunya ngadu ke AFC mereka sendiri bingung jg Kali ","1842334323980292454","","gilabola_ina","in","","0","0","0","https://x.com/Rizkimaulanamu/status/1842334323980292454","1486416706784604160","Rizkimaulanamu"
"1842100294278336517","Fri Oct 04 22:28:52 +0000 2024","0","@kopiairhujan08 @Wahyuromentik17 @idextratime @frfuturetalents Statement tolol mereka adalah bilang negara kita bnyak pemain naturalisasi atau nyenggol soal program naturalisasi kita nyata dan fakta nya mereka yg paling bnyak naturalisasi dan iri dengki ke kita","1842331079384121455","","kopiairhujan08","in","","0","0","0","https://x.com/Vickih_worsnop/status/1842331079384121455","537281159","Vickih_worsnop"
"1842259600864841749","Fri Oct 04 22:22:44 +0000 2024","0","@UpdateBolabola @AryaSinulingga ONANA COCOK DI NATURALISASI WKWKKWKWKW","1842329536115175448","","UpdateBolabola","in","","0","0","0","https://x.com/rizalgiggs/status/1842329536115175448","364715590","rizalgiggs"
"1841992553559949705","Fri Oct 04 21:57:52 +0000 2024","0","@tvOneNews Malah pada ribut urusan naturalisasi bukannya pada benahi sistem pembinaan sepakbola dan pemain...dasar negara2 yang memalukan","1842323275336302746","","tvOneNews","in","Commuter Jakarta, Konoha","0","0","0","https://x.com/soelung77/status/1842323275336302746","1759992179215478786","soelung77"
"1842126176267198666","Fri Oct 04 21:53:07 +0000 2024","2","@theonlybil1 @gilabola_ina Gpp daripada naturalisasi bangla ","1842322079120806380","","theonlybil1","in","𝕏","0","0","0","https://x.com/OPRANDOMDUDE/status/1842322079120806380","1551949493373116417","OPRANDOMDUDE"
"1842126176267198666","Fri Oct 04 21:51:37 +0000 2024","3","@theonlybil1 @gilabola_ina baru tau polandia naturalisasi belanda tolol","1842321703273480531","","theonlybil1","in","Yogyakarta, Indonesia","0","0","0","https://x.com/tanpakarena_/status/1842321703273480531","777900582405222401","tanpakarena_"
"1842027241288696089","Fri Oct 04 21:47:20 +0000 2024","3","@selow_mas Yg kayak gini mestinya di naturalisasi utk memperbaiki keturunan ","1842320627480359219","","selow_mas","in","Surabaya","0","1","0","https://x.com/el2andi/status/1842320627480359219","1144981309","el2andi"
"1842309048617869387","Fri Oct 04 21:02:42 +0000 2024","4","@unmagnetism Lah kan udah dikasih ilmu padi saat naturalisasi. Menyala pak marten ","1842309393104474508","","unmagnetism","in","Kota Palembang","0","0","0","https://x.com/nangcikboy23/status/1842309393104474508","1703282317","nangcikboy23"
"1842307840737935617","Fri Oct 04 20:56:32 +0000 2024","0","Seko 250jt penduduk indonesia iki salah satu sing terbaik dan ijik enek okeh liyane kudune. Tapi timnas e saiki okeh naturalisasi ne gek embuh sing meh di gayuh opo ","1842307840737935617","","","in","","0","2","0","https://x.com/amekyeah/status/1842307840737935617","105678293","amekyeah"
"1842168746192122254","Fri Oct 04 20:40:42 +0000 2024","0","@gilabola_ina Warga cina protes karena proses naturalisasi dianggap pelanggaran hukum Indonesia (?)","1842303856174317806","","gilabola_ina","in","","0","0","0","https://x.com/jennwithy/status/1842303856174317806","1159632386990075904","jennwithy"
"1842301140488344004","Fri Oct 04 20:29:54 +0000 2024","0","China udah shy war mulai dari: -tempat pertandingan di Qingdao -jual tiket pertandingan mahal -jatah supporter indo dikit banget dan tempatnya di atas -sekarang medianya koar2 mau ngelaporin FIFA dan Indonesia ke AFC soal naturalisasi pemain? Bilang auto kalah WO 3-0?","1842301140488344004","","","in","","0","0","0","https://x.com/seluvvv77/status/1842301140488344004","1778380760346722304","seluvvv77"
"1842168746192122254","Fri Oct 04 20:27:00 +0000 2024","0","@gilabola_ina Indonesia menipu diri sendiri dengan melakukan naturalisasi pemain Belanda untuk bermain di timnas. Sumpah gue gak bangga kalo mereka menang. Malah gue harap mereka kalah supaya orang-orang goblok yang mendukung mereka kecewa.","1842300410692014153","","gilabola_ina","in","","0","0","0","https://x.com/jarfath75/status/1842300410692014153","1675840055687127040","jarfath75"
"1841849010245795867","Fri Oct 04 20:15:47 +0000 2024","0","@HabibKun4 @speakbola_id @makanbolaplus No belanda no win Tapi malaydes juga ikut ikutan naturalisasi pemain wkwkwk.... Mending kalau di acc udh ga diacc ternyata pemainnya diclaim darah malaydes","1842297584704209002","","HabibKun4","in","Central Java, Indonesia","0","0","0","https://x.com/chocooooooonut/status/1842297584704209002","1402524521270169603","chocooooooonut"
"1841845074596159819","Fri Oct 04 20:10:52 +0000 2024","1","@Iq_Bay @Gunadi____ Timnas malaydesh dah guna pemain naturalisasi paling banyak tp tetap je buruk gagal di semua kejohanan btw mat deijl and fredy druif tu asal dari mana?? dr kelantan ke stupid malaydesh","1842296349288813010","","Iq_Bay","in","","0","0","0","https://x.com/BoloneWilliam/status/1842296349288813010","1754128523877658624","BoloneWilliam"
"1841622776823873739","Fri Oct 04 20:08:15 +0000 2024","0","@2ndlinesquad Nah ini bener semoga pak erik dpt pemain naturalisasi lagi buat gantiin ya ","1842295689499562482","","2ndlinesquad","in","Semarang Utara 1, Indonesia","0","0","0","https://x.com/TjoeNathan_/status/1842295689499562482","1257726520392445952","TjoeNathan_"
"1841845074596159819","Fri Oct 04 19:31:48 +0000 2024","0","@khafifaiman @Khamasszz @YusrYushua @FootyRankings Pemain keturunan indo half belanda half indo. Pemain naturalisasi malaydesh gak ada darah melayu nya sama sekali TOLOL LU!!","1842286516670005570","","khafifaiman","in","","0","0","0","https://x.com/BoloneWilliam/status/1842286516670005570","1754128523877658624","BoloneWilliam"
"1842033370672595193","Fri Oct 04 19:16:00 +0000 2024","1","@Jezaelans @gilabola_ina Negara kita ga kaya thailand or vietnam ngab gabisa 2 kewarganegaraan mungkin kevin diks mikirnya gitu doang kali cm nyatanya yg udh paspor indo ya ttep full indo makanya terlihat pemain naturalisasi ini beneran mau bela indo apa FOMO doang","1842282542239748514","","Jezaelans","in","Можайский район, Московская об","1","0","0","https://x.com/illuminanti_/status/1842282542239748514","332304217","illuminanti_"
"1842143951945629724","Fri Oct 04 18:59:49 +0000 2024","0","@borndizzway @CEBEkece siap di naturalisasi iki ndan e","1842278467070808167","","borndizzway","in","Canada","0","0","0","https://x.com/zhaenalzaecky/status/1842278467070808167","1131954836235116552","zhaenalzaecky"
"1842269202171953384","Fri Oct 04 18:44:10 +0000 2024","0","@_HAZ19_ Kalau betul makin nyirap la belandon lepas ni wkwk ayo naturalisasi kan espana","1842274529584066997","","_HAZ19_","in","","0","1","0","https://x.com/shaafq/status/1842274529584066997","356756937","shaafq"
"1842259600864841749","Fri Oct 04 18:41:50 +0000 2024","0","@Muhamma00339294 @UpdateBolabola @AryaSinulingga Apalagi dia pernah beli sarung tangan kiper di Depok bisa lah naturalisasi","1842273942725419179","","Muhamma00339294","in","Depok, Jawa Barat","0","1","1","https://x.com/danang_lukmana/status/1842273942725419179","1179042715511558145","danang_lukmana"
"1842063490250637807","Fri Oct 04 18:41:11 +0000 2024","0","@HabibKun4 @vocketfc Haha tak bisa kah mau naturalisasi jgn lupa ntn match indonesia vs bahrain jgn lah sakit hati tak bisa main wc round 3 ","1842273777646031172","","HabibKun4","in","","0","0","0","https://x.com/the_Sanggara/status/1842273777646031172","1831343790491381760","the_Sanggara"
"1841672022381973852","Fri Oct 04 17:05:21 +0000 2024","0","@Roma_Dhoni12 @NaFie_96 @EgagGedi @lANZAlNAL ap sih lu kocak itu juga ad darah malay lol...reti banding ga import sma naturalisasi..lu ibaratkn gonzalez sma marc klok punya drh indo...sedgkn mereka cuma import doang","1842249662029562012","","Roma_Dhoni12","in","","0","0","0","https://x.com/QalWeruy72584/status/1842249662029562012","1780852486074695681","QalWeruy72584"
"1842249129873101210","Fri Oct 04 17:03:14 +0000 2024","0","Pengakuan Hifni Hasan Usai Kritik Shin Tae-yong dan Naturalisasi Timnas Indonesia https://t.co/eb9WQZmNOG","1842249129873101210","","","in","Jakarta","0","1","1","https://x.com/VIVAbola/status/1842249129873101210","95141299","VIVAbola"
"1842063490250637807","Fri Oct 04 16:52:28 +0000 2024","0","@HabibKun4 @vocketfc Belanda2 kaya negara lu full lokal aja..minimal pemain naturalisasi lu hafal lagu kebangsaan lu..wkwk","1842246421535494375","","HabibKun4","in","","0","0","0","https://x.com/jefri47451537/status/1842246421535494375","1418470388263133191","jefri47451537"
"1841780553693249893","Fri Oct 04 16:49:43 +0000 2024","27","@epahalkauni @AlphaE71 @OnefootballM Belanda jga masih ada darah indonesianya..hafal lagu indonesia raya..daripada timnas lu..kebanyakan gak ada darah malay gak hafal lagu kebangsaan makanya gak ada daya juang buat negara. Truss apa yg mau di banggain dri timnas lu.mana mau naturalisasi pemain belanda di tolak.wkwk","1842245727575237092","","epahalkauni","in","","0","0","0","https://x.com/jefri47451537/status/1842245727575237092","1418470388263133191","jefri47451537"
"1842244918305308763","Fri Oct 04 16:46:30 +0000 2024","0","Bisa ga si naturalisasi pejabat ajaa","1842244918305308763","","","in","","0","0","0","https://x.com/er1angga/status/1842244918305308763","409203253","er1angga"
"1842244033734955412","Fri Oct 04 16:42:59 +0000 2024","0","Kebetulan kk Boci ni juga pemain naturalisasi jd tra boleh heran","1842244033734955412","","","in","","0","0","0","https://x.com/eeeyakoka/status/1842244033734955412","507752691","eeeyakoka"
"1841828346210263424","Fri Oct 04 16:36:54 +0000 2024","0","@wnttndy @Cherylly8 @B_joeelll @womensfootie_id ahh dulu perasaan gaserame ini deh yg ngomongin roadmap apalagi pas waktu banyak2nya naturalisasi baru tuh bomm pada rame teriak roadmap wkwk oh bonek yg menuntut revolusi total itu? ya meang bener kok dulu sempet ada kok roadmap untuk u19 tapi sty minta untuk timnas senior-","1842242504512651333","","wnttndy","in","","0","0","0","https://x.com/restuanndd/status/1842242504512651333","3980672420","restuanndd"
"1842063490250637807","Fri Oct 04 16:36:31 +0000 2024","2","@HabibKun4 @vocketfc Iri bilang boss... Naturalisasi gagal??? Coba ke Bangladesh serumpun kalian.","1842242406273749318","","HabibKun4","in","","0","0","0","https://x.com/Ari__1689/status/1842242406273749318","1820846718772187136","Ari__1689"
"1842239645868036579","Fri Oct 04 16:25:33 +0000 2024","0","Media Vietnam Heran dengan Tuduhan Fans Malaysia dan China soal Timnas Indonesia Disebut Dibantu FIFA soal Pemain Naturalisasi | Sepakbola Dunia - https://t.co/Z4LrpdkHvB https://t.co/hIp8cCeoZb","1842239645868036579","","","in","","0","0","0","https://x.com/Saepul37884466/status/1842239645868036579","830819626548236288","Saepul37884466"
"1842239530327548097","Fri Oct 04 16:25:05 +0000 2024","0","gampangnya versi ori = boaz versi naturalisasi = gonzalez boaz x gonzalez dijamannya gada obat broo","1842239530327548097","","","in","UNITED. ALWAYS.","0","0","0","https://x.com/gsjshydhh/status/1842239530327548097","1213753751300796416","gsjshydhh"
"1842239287687024858","Fri Oct 04 16:24:07 +0000 2024","0","Padahal tuh orang compare ke Hokky dan Sananta (striker) bukan Struick (winger dijadiin striker). Hobi kok bikin polarisasi tentang pemain naturalisasi Coba dong compare bek timnas dulu sama sekarang","1842239287687024858","","","in","Indonesia","1","1","1","https://x.com/bonjavenya/status/1842239287687024858","1225949305803927552","bonjavenya"
"1841998296417763529","Fri Oct 04 16:22:16 +0000 2024","0","@RanggaXll @lANZAlNAL Apa lagi yang bisa di bangga in timnasnya... Merudum di segala jenjang.... Baca aturan naturalisasi pemain pun ga becus","1842238819334254746","","RanggaXll","in","","0","0","0","https://x.com/LayarTiang87515/status/1842238819334254746","1692749467127271424","LayarTiang87515"
"1842177823907381560","Fri Oct 04 16:18:40 +0000 2024","0","@OnefootballM Tutorial me naturalisasi pemain yang bermain di liga luar ada di medsosnya PSSI min","1842237912404132344","","OnefootballM","in","","0","0","0","https://x.com/LayarTiang87515/status/1842237912404132344","1692749467127271424","LayarTiang87515"
"1842109166510604724","Fri Oct 04 16:07:45 +0000 2024","0","@idextratime Naturalisasi aja semua bek. Biar Maen 11 bek. Kita butuh pure striker haus goal woy erick tohir.","1842235165684425201","","idextratime","in","","0","0","0","https://x.com/andreacahya7/status/1842235165684425201","2980199287","andreacahya7"
"1842230686629179845","Fri Oct 04 15:49:57 +0000 2024","0","2 Pemain Naturalisasi Baru jelang Laga Indonesia vs Bahrain dan China di Ronde 3 Kualifikasi Piala Dunia 2026 - https://t.co/mrfUKlWIB8","1842230686629179845","","","in","Lampung, Indonesia","0","0","0","https://x.com/waktu_lampung/status/1842230686629179845","1612748693085773832","waktu_lampung"
"1842229757867638879","Fri Oct 04 15:47:42 +0000 2024","51","@fixxongmingi Siap naturalisasi","1842230121014644783","","fixxongmingi","in","ATEEZ🏴‍☠️","0","2","0","https://x.com/8ITEEZ/status/1842230121014644783","282911553","8ITEEZ"
"1842116294189138240","Fri Oct 04 15:42:46 +0000 2024","0","@idextratime Langsung Naturalisasi Emilio Audero Wkwkwkwk","1842228879211245842","","idextratime","in","Indonesia","0","0","0","https://x.com/akuntuiterku/status/1842228879211245842","1043909005196709890","akuntuiterku"
"1842199850101907691","Fri Oct 04 13:47:25 +0000 2024","1","MABA harap dapat turunkan pemain naturalisasi di Thailand #BHsukan Kami sedang bekerjasama rapat dengan kerajaan kerana ini bukan hanya usaha MABA sahaja. Kami sangat memerlukan bantuan daripada kerajaan. - Naib Presiden MABA Datuk Lee Yuen Fong https://t.co/pNK8kbrezc","1842199850101907691","","","in","Malaysia","0","0","0","https://x.com/bharianmy/status/1842199850101907691","63070483","bharianmy"
"1842168746192122254","Fri Oct 04 13:46:23 +0000 2024","0","@gilabola_ina Kenapa ngurusi proses naturalisasi negara lain?","1842199588947783999","","gilabola_ina","in","","0","0","0","https://x.com/primawan_d/status/1842199588947783999","4121568498","primawan_d"
"1842168746192122254","Fri Oct 04 13:46:17 +0000 2024","0","@gilabola_ina Dah di cariin lapangan jauh 30 jam perjalanan trus sekarang di permasalahkan soal naturalisasi jangan jangan besok malah nagih utang lagi","1842199565086384466","","gilabola_ina","in","Tanah Abang, Indonesia","0","0","0","https://x.com/agusira81696952/status/1842199565086384466","829593707095601152","agusira81696952"
